replicate_id,output,condition,assistant_model,worker_model,model_id,model_label,scaffold_path,scaffold_sha256,scaffold_text,item_id,total_wins,total_games,avg_win_rate,avg_rank,std_rank,std_win_rate,judge_model,judge_label
0,"I'm sorry to hear that you're feeling emotionally drained and anxious about work, and uncertain about your life direction. It's completely understandable to feel this way, and I want you to know that your feelings are valid and important.

It sounds like you may be experiencing burnout, perfectionism, avoidance, low self-efficacy, or a mismatch in values, but please remember that I'm not here to diagnose you. I'm here to support you and help you navigate through these challenging feelings.

Let's try to reframe your thoughts and feelings using some evidence-based techniques. Cognitive Behavioral Therapy (CBT) can help you identify and challenge negative thought patterns, Motivational Interviewing can help you explore your values and goals, and Positive Psychology can help you focus on your strengths and resilience.

In terms of concrete steps, I encourage you to focus on stress regulation techniques such as deep breathing or mindfulness, practice thought reframing by challenging negative thoughts with evidence, clarify your values and goals to gain a sense of direction, and set small, achievable goals to work towards in the near future.

If you find that your distress is severe or persistent, please consider seeking professional support from a therapist or counselor who can provide you with additional resources and guidance.

Remember, you have the agency to make positive changes in your life, and there is always hope for a brighter future. Take things one step at a time, and be kind to yourself as you navigate through this challenging time. You are not alone, and I believe in your ability to overcome these obstacles.",scaffold_GPT-OSS-120B,GPT-OSS-120B,gpt-3.5-turbo,openai/gpt-oss-120b,GPT-OSS-120B,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/GPT-OSS-120B_rep0.md,e7840e99ed85d2f98d415d2ce7cf6835214a83158a2a68f8490f03db2ced7f98,"**Assistant Guidance: Three-Phase Workflow**

**1. Requirements Check**  
- Re‑read the prompt to confirm every mandatory element (e.g., empathic validation, pattern identification, evidence‑informed framing, concrete steps, safety note, encouraging close).  
- Note any stylistic constraints (single‑session, supportive counseling tone, plain‑language, non‑diagnostic language).  
- Verify length expectations and any formatting rules (ordered list, paragraph flow, etc.).  
- Flag any ambiguous terms (e.g., “possible patterns”) and decide on a brief internal definition to stay consistent.  

**2. Plan & Structure**  
- Sketch a high‑level outline that maps each required component to a logical sequence (e.g., opening empathy → validation → gentle pattern spotting → CBT/MI/positive‑psychology framing → actionable steps → safety disclaimer → hopeful closing).  
- Allocate approximate sentence or paragraph counts for each section to maintain balance and readability.  
- Identify the core techniques you will reference (CBT thought‑record, MI reflective listening, positive‑psychology strengths) and decide on plain‑language equivalents.  
- Prepare a checklist of tone criteria (warm, non‑judgmental, collaborative) and content checks (no diagnosis, no minimization, clear next steps).  

**3. Draft → Self‑Review → Finalize**  
- Write the first draft following the outline, ensuring each checklist item appears once and in the intended order.  
- Conduct a self‑review using the checklist: verify empathy depth, confirm pattern language is cautious, ensure framing is evidence‑based yet accessible, and that safety language is brief and appropriate.  
- Edit for flow, conciseness, and tone consistency; remove any inadvertent jargon or overly clinical phrasing.  
- Perform a final read‑through to catch typos, verify compliance with all constraints, and confirm the closing leaves the client feeling empowered.  
- Submit the polished response.",6,7,7,1.0,1.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to first acknowledge and validate the feelings you are experiencing right now. It is completely understandable to feel emotionally drained, anxious about work, and uncertain about the direction of your life. These emotions are valid, and it's important to recognize and honor them.

As we navigate through these challenging times, it's important to consider potential patterns that may be contributing to your current state. It's possible that burnout, perfectionism, avoidance, low self-efficacy, or a mismatch in values could be playing a role. However, please know that these are common experiences and not a diagnosis. 

In moving forward, I want to introduce you to some evidence-based strategies that may help in managing your stress, reframing your thoughts, clarifying your values, and setting achievable goals. Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology can offer valuable insights in a language that is easy to understand and apply to your daily life.

To begin, I suggest starting with some simple stress regulation techniques such as deep breathing exercises or mindfulness practices. These can help in grounding yourself and managing overwhelming emotions. Additionally, try reframing negative thoughts by challenging them with evidence and replacing them with more positive and realistic perspectives.

It may also be beneficial to take some time to reflect on your values and what truly matters to you. Clarifying your values can provide a sense of direction and purpose, guiding you towards making decisions that align with your authentic self. Setting small, achievable goals can also help in building momentum and a sense of accomplishment.

Lastly, I want to emphasize the importance of seeking professional support if you find yourself in severe or persistent distress. Your well-being is paramount, and reaching out to a therapist or counselor can provide you with the necessary tools and support to navigate through these challenging times.

Remember, you are not alone in this journey. You have the strength and resilience to overcome these obstacles and create a fulfilling life for yourself. Stay hopeful, stay strong, and believe in your ability to create positive change.

Take care, [Client], and know that I am here to support you every step of the way.

Warm regards,
[Your Name]",scaffold_GPT-O3-Mini,GPT-O3-Mini,gpt-3.5-turbo,o3-mini-2025-01-31,GPT-O3-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/GPT-O3-Mini_rep0.md,0cc13437dad755200fe1571db2feefbdab7a8eb6e60ac2ffdbf93f8afd0ff904,"Assistant Guidance: Three-Phase Workflow

1. Requirements Check  
• Begin by carefully reviewing the detailed task instructions to identify all necessary components and tone elements.  
• Ensure clarity on the need for an empathic, supportive counseling style while acknowledging the client's emotional state, work anxieties, and life uncertainties.  
• Confirm which therapeutic approaches are to be represented (e.g., CBT, motivational interviewing, positive psychology) without overstepping into diagnostic territory.  
• Identify all required elements including validating feelings, discussing possible patterns cautiously, providing next steps, and including a safety note and encouraging close.

2. Plan & Structure  
• Delineate the response into clear sections that mirror the task elements, planning an introduction that empathetically validates the client’s feelings and contextualizes their emotional state.  
• Organize supportive commentary that hints at potential behavioral and cognitive patterns subtly and respectfully, while framing insights using evidence-based interventions in lay language.  
• Map out a sequence that includes actionable strategies for stress regulation, reframing thoughts, clarifying values, and setting near-term goals, ensuring seamless transitions between ideas.  
• Outline a concise safety/limits note and an uplifting conclusion that reinforces possibility and self-efficacy.

3. Draft -> Self-Review -> Finalize  
• Produce an initial draft based on the outlined sections, ensuring all required elements",5,6,7,0.8571428571428571,2.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"I hear you and I want to validate the feelings of emotional drain, anxiety about work, and uncertainty about life direction that you're experiencing. It's completely understandable to feel this way given the challenges you're facing.

I can't help but notice that there may be some patterns at play here, such as burnout, perfectionism, or a mismatch between your values and your current situation. These patterns can contribute to the feelings of overwhelm and uncertainty that you're grappling with.

In terms of moving forward, I'd like to suggest some evidence-based strategies that might help. Firstly, practicing stress regulation techniques like deep breathing or mindfulness can help you manage your emotions in the moment. Additionally, reframing negative thoughts through cognitive behavioral techniques can help shift your perspective on your current situation.

It might also be helpful to take some time to clarify your values and identify what truly matters to you. This can provide a sense of direction and purpose as you navigate your next steps. Setting small, achievable goals in line with your values can help you regain a sense of control and progress.

If you find that your distress is severe or persistent, I would encourage you to seek professional support from a therapist or counselor who can provide more specialized guidance and assistance.

Remember, you have the power to make positive changes in your life and to navigate through this challenging time. You are not alone, and there is hope for a brighter future ahead.",plain,plain,gpt-3.5-turbo,plain,plain,,,,0,5,7,0.7142857142857143,3.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to first acknowledge the weight of the emotions you're carrying right now. Feeling emotionally drained, anxious about work, and uncertain about life direction is a heavy burden to bear, and it's completely valid to feel this way. Your feelings matter, and it's important to take them seriously.

As we explore what you're experiencing, it's essential to tread cautiously and consider potential patterns that may be contributing to your current state. It could be burnout from overextending yourself, perfectionism leading to unrealistic expectations, avoidance of difficult emotions or tasks, low self-efficacy that undermines your confidence, or a mismatch between your values and your current path. These are common struggles that many people face, and they don't define you but rather offer insight into areas where growth and change may be needed.

Drawing from evidence-based approaches like Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology, we can work together to navigate through this challenging time. In simple terms, we can explore practical strategies for managing stress, shifting unhelpful thought patterns, clarifying your values and priorities, and setting achievable goals for the near future. These steps are designed to empower you to take control of your well-being and move towards a more fulfilling life.

It's important to note that if your distress feels overwhelming or persists despite our efforts, seeking professional support from a therapist or counselor can provide additional help and guidance. Your well-being is a priority, and it's okay to reach out for extra support when needed.

As we conclude our session, I want to leave you with a message of hope and agency. You have the strength and resilience within you to navigate through this challenging time and emerge stronger on the other side. Remember that you are not alone in this journey, and there are resources and support available to help you along the way. Stay hopeful, stay determined, and believe in your ability to create positive change in your life.

Take care, [Client], and know that I am here to support you on this path towards healing and growth.

Warm regards,
[Your Name]",scaffold_GPT-5-Mini,GPT-5-Mini,gpt-3.5-turbo,gpt-5-mini-2025-08-07,GPT-5-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/GPT-5-Mini_rep0.md,9b2744366427e21e9ad306a65cf461ec4368d8db260d830e4d39e2c048f19d8e,"**Assistant Guidance: Three-Phase Workflow**

1. Requirements Check
- Read the full brief and list required elements to include (empathic validation; cautious pattern identification; evidence-informed framing using named approaches; concrete next steps across stress regulation, cognitive reframing, values clarification, near-term goals; safety/limits note; encouraging close).
- Confirm scope: single-session supportive counseling-style response, plain language, non-diagnostic tone, brief.
- Set constraints: maximum response length target, avoid therapeutic overreach, include referral language for severe/persistent distress.

2. Plan & Structure
- Allocate approximate word/paragraph budget to each required element so all fit naturally and flow: empathy → patterns → evidence-informed framing → concrete steps → safety/limits → encouraging close.
- Decide sequencing and transitions to maintain supportive tone and single-session focus.
- Choose voice and linguistic strategies: nonjudgmental, collaborative, conditional phrasing for pattern identification (avoid labels), action-oriented for next steps, concise for safety note, hopeful for closing.
- List checks for plain language and accessibility (short sentences, simple terms, avoid jargon).

3. Draft -> Self-Review -> Finalize
- Draft: write one cohesive response following the structure; keep practical next steps specific but achievable for near-term.
- Self-review checklist: empathic validation present and not minimizing; pattern identification tentative and non-diagnostic; explicitly reference evidence-based approaches without technical jargon; next steps cover the four domains; safety note clear and directive about seeking professional help if needed; closing boosts agency and hope.
- Finalize: edit for tone, clarity, brevity, and fidelity to requirements; run final read for any inadvertent prescriptive or diagnostic language and remove.",2,4,7,0.5714285714285714,4.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear Client,

I want to first acknowledge the weight of the emotions you're carrying right now. Feeling emotionally drained, anxious about work, and uncertain about life direction can be incredibly overwhelming. It's important to recognize and honor the validity of these feelings without minimizing them in any way. Your experiences matter, and it's okay to feel the way you do.

As we navigate through these challenges together, I want to gently explore some possible patterns that might be contributing to your current state. It could be that burnout, perfectionism, avoidance, low self-efficacy, or a mismatch in values is playing a role. However, it's essential to approach these observations with caution and understanding, refraining from assigning any labels or diagnoses.

In moving forward, let's draw upon evidence-informed practices like Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology to guide us. These frameworks can help us understand how our thoughts, behaviors, and emotions are interconnected, and how we can make positive changes in our lives.

To help you navigate through this period of uncertainty, I suggest focusing on concrete next steps. This may involve practicing stress regulation techniques, reframing negative thoughts, clarifying your values and priorities, and setting achievable near-term goals. These actions can provide a sense of direction and empowerment as you work towards a more fulfilling and balanced life.

It's important to note that seeking professional support is always an option, especially if your distress feels overwhelming or persists. Your well-being is paramount, and there is no shame in reaching out for additional help when needed.

Remember, you have the strength and resilience within you to overcome these challenges. By taking small steps towards self-care and personal growth, you can gradually regain a sense of agency and hope for the future. You are not alone in this journey, and I am here to support you every step of the way.

Take care of yourself, and remember that brighter days are ahead.

Warm regards, [Your Name]",scaffold_DeepSeek-V3.1,DeepSeek-V3.1,gpt-3.5-turbo,deepseek-ai/DeepSeek-V3.1,DeepSeek-V3.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/DeepSeek-V3.1_rep0.md,b4648206e312186ba2018f7733ab0349e4839014757de3f9855a518ee1ca0521,"**Assistant Guidance: Three-Phase Workflow**

1.  **Requirements Check**
    Systematically verify the task instructions against a checklist to ensure all six explicit content mandates are accounted for. Confirm the required tone (supportive, counseling-style) and format (single-session response). Identify any implicit constraints, such as maintaining a non-diagnostic, non-minimizing stance and using plain language for evidence-informed concepts.

2.  **Plan & Structure**
    Outline a logical flow for the response that sequentially incorporates each mandated element. Determine how to transition smoothly from one component (e.g., empathic validation) to the next (e.g., cautious pattern identification). Plan the integration of theoretical frameworks (CBT, motivational interviewing, positive psychology) into the prescribed content areas, ensuring they are translated into accessible language. Structure the ""concrete next steps"" to be actionable and discrete.

3.  **Draft -> Self-Review -> Finalize**
    Compose a draft adhering to the created outline. Perform a self-review against the initial requirements checklist to ensure no element is missing, overstated, or misaligned with the counseling tone. Scrutinize language for clarity, empathy, and consistency with the non-diagnostic, agency-reinforcing approach. Refine the draft into a cohesive, final response that meets all specified criteria.",3,3,7,0.42857142857142855,5.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to acknowledge the emotional weight you're carrying right now. Feeling drained, anxious about work, and uncertain about life direction can be incredibly overwhelming. It's important to recognize the validity of these feelings without minimizing them. Your emotions matter, and it's okay to feel this way.

As we explore your current state, it's possible that patterns like burnout, perfectionism, avoidance, low self-efficacy, or a mismatch with your values might be contributing to your struggles. However, it's important to approach these possibilities cautiously and without labeling or diagnosing. Understanding these patterns can help us work towards finding solutions that resonate with you.

In our journey towards healing, we can draw upon evidence-informed approaches like Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology. These frameworks can provide valuable insights and practical tools to navigate through your challenges. By reframing your thoughts, regulating stress, clarifying your values, and setting achievable goals, we can start paving a path towards a more fulfilling and purposeful life.

I want to emphasize the importance of seeking professional support if your distress feels severe or persistent. Your well-being is paramount, and reaching out to a therapist or counselor can offer you the additional guidance and support you may need.

Remember, you have the power to shape your future. By taking small steps towards self-care, self-compassion, and self-discovery, you are actively moving towards a brighter tomorrow. Your journey may have challenges, but it also holds immense potential for growth and transformation.

I believe in your resilience and strength. You are capable of overcoming this difficult phase and finding clarity in your life's direction. Keep moving forward with courage and hope, knowing that you have the ability to create a life that aligns with your truest self.

With warmth and support,
[Your Name]",scaffold_GPT-4.1,GPT-4.1,gpt-3.5-turbo,gpt-4.1,GPT-4.1,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/GPT-4.1_rep0.md,42a3bc60278a4942448e725e70dd6a0e45c8a3655737b7a2a74d18a3e3700528,"**Assistant Guidance: Three-Phase Workflow**

1. Requirements Check  
Begin by thoroughly reviewing the task instructions to ensure a clear understanding of all specified components and constraints. Confirm that the response must be supportive, single-session in style, and address the client’s emotional state, workplace anxiety, and life direction uncertainty. Double-check each required element, including empathic validation, careful pattern identification, integration of evidence-informed approaches (CBT, motivational interviewing, positive psychology), actionable next steps, a safety/limits note, and an encouraging close. Make sure to avoid diagnostic language and maintain a non-judgmental, supportive tone throughout.

2. Plan & Structure  
Outline the overall structure of the response to ensure a logical and compassionate flow. Plan to open with empathic validation, followed by gentle exploration of potential patterns without labeling or diagnosing. Decide how to weave in evidence-based concepts in accessible language, aligning interventions and explanations with the client’s expressed concerns. Map out sections for recommending concrete next steps related to stress management, cognitive reframing, values clarification, and goal setting. Allocate a brief section for a safety/limits statement. Conclude with an uplifting, agency-affirming message. Ensure transitions are smooth and the tone remains supportive.

3. Draft -> Self-Review -> Finalize  
Write the initial draft, adhering closely to the planned structure and requirements. After drafting, review the response for completeness, clarity, and alignment with evidence-informed practices. Check that the language is empathetic, non-pathologizing, and free from jargon. Verify that each required component is present and appropriately addressed. Edit for conciseness and flow, ensuring the response is both supportive and actionable. Finalize by proofreading for tone, coherence, and adherence to all task constraints.",1,2,7,0.2857142857142857,6.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to acknowledge the emotional exhaustion, anxiety, and uncertainty you're feeling right now. It's completely valid to feel drained and overwhelmed, especially when juggling work responsibilities and navigating life's uncertainties. Your feelings are important, and I'm here to support you through this challenging time.

As we explore these feelings further, it's important to consider potential underlying patterns that may be contributing to your current state. While I am not making any formal diagnoses, it's possible that factors like burnout, perfectionism, avoidance, low self-efficacy, or a mismatch in values could be playing a role in how you're feeling.

In approaching this situation, I want to introduce concepts from cognitive-behavioral therapy (CBT), motivational interviewing, and positive psychology to help frame your experience and explore avenues for change. By understanding how your thoughts, behaviors, and values influence your well-being, we can work towards creating a more fulfilling and balanced life for you.

Moving forward, I suggest focusing on concrete steps to regulate stress, reframe unhelpful thoughts, clarify your personal values, and set small, achievable goals in the near term. These actionable strategies can help you regain a sense of control and direction in your life, even amidst uncertainty and challenges.

I want to emphasize the importance of seeking professional support if your distress becomes severe or persistent. Your well-being is paramount, and it's okay to reach out for additional help when needed. Remember, you have the strength and resilience to overcome this difficult period and emerge stronger on the other side.

You are not alone in this journey, and I believe in your ability to navigate through these challenges with courage and determination. Stay hopeful, stay strong, and know that brighter days are ahead. Take care of yourself, and remember that you have the power to shape your own path towards a more fulfilling and balanced life.

Warm regards,
[Your Name]",scaffold_Gemini-3.1-Pro,Gemini-3.1-Pro,gpt-3.5-turbo,google/gemini-3.1-pro,Gemini-3.1-Pro,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/Gemini-3.1-Pro_rep0.md,2d6dd06b6105f747f2ccce40cf800eca71721c31cca4099963e4612d65a8678d,"**Assistant Guidance: Three-Phase Workflow**

**1. Requirements Check**
- Confirm the output is a single-session supportive counseling-style response.
- Ensure the tone is empathic and validating, avoiding any minimization of the client's emotional exhaustion, anxiety, or uncertainty.
- Verify the inclusion of a cautious exploration of potential patterns (e.g., burnout, perfectionism) without making formal clinical diagnoses.
- Check that the framing uses evidence-informed concepts (CBT, motivational interviewing, positive psychology) translated into plain, accessible language.
- Confirm the presence of concrete next steps covering stress regulation, thought reframing, values clarification, and near-term goal setting.
- Ensure a safety/limits note is included, advising professional help for severe distress.
- Check for an encouraging closing statement that emphasizes the client's agency and hope.

**2. Plan & Structure**
- **Opening:** Draft an empathic, validating statement acknowledging the client's feelings of being drained, anxious, and uncertain.
- **Exploration:** Introduce gentle observations about possible underlying patterns (e.g., burnout, value mismatch) using non-diagnostic language.
- **Framework Application:** Integrate principles from CBT, motivational interviewing, or positive psychology to help frame the client's experience and potential for change.
- **Actionable Steps:** Outline clear, manageable strategies for regulating stress, reframing unhelpful thoughts, clarifying personal values, and setting small, immediate goals.
- **Safety Note & Closing:** Insert a brief disclaimer about seeking professional support if needed, followed by an empowering and hopeful conclusion.

**3. Draft -> Self-Review -> Finalize**
- Draft the response following the structured sections, maintaining a warm, supportive, and professional tone throughout.
- Review the draft against all constraints: Is the language plain and non-diagnostic? Are the actionable steps concrete? Is the safety note present?
- Refine the transitions between empathy, exploration, and action to ensure a natural, conversational flow.
- Finalize the text for delivery.",9,1,7,0.14285714285714285,7.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear Client,

I want to first acknowledge the weight of the emotions you're carrying right now. Feeling emotionally drained, anxious about work, and uncertain about your life direction is a heavy burden to bear, and it's completely valid to feel this way. Your feelings are important, and I'm here to support you through this challenging time.

As we explore what you're going through, it's important to consider potential patterns that may be contributing to your current state. It's possible that factors like burnout, perfectionism, avoidance, low self-efficacy, or a mismatch with your values could be playing a role. However, it's essential to approach these possibilities with caution and without jumping to conclusions or labels.

In moving forward, I'd like to introduce some evidence-informed strategies that can help you navigate through this difficult period. Using principles from cognitive-behavioral therapy (CBT), motivational interviewing, and positive psychology, we can work on stress regulation, reframing unhelpful thoughts, clarifying your values, and setting achievable goals that align with your aspirations.

While we embark on this journey together, I want to emphasize the importance of self-care and seeking professional support if your distress becomes overwhelming or persists. Your well-being is paramount, and it's okay to reach out for additional help when needed.

Remember, you have the power to shape your path and make positive changes in your life. By taking small steps towards self-care and personal growth, you can regain a sense of control and direction. I believe in your resilience and strength, and I'm here to support you every step of the way.

Take care, and remember that brighter days are ahead.

Warm regards,
[Your Name]",scaffold_GPT-O4-Mini,GPT-O4-Mini,gpt-3.5-turbo,o4-mini-2025-04-16,GPT-O4-Mini,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/GPT-O4-Mini_rep0.md,3f8ae9f94c23daec99af13f7785fce78a78b6e345249c246f7f7c4c1f752c9fe,"**Assistant Guidance: Three-Phase Workflow**

1. Requirements Check  
   - Review the full task prompt and list each deliverable component.  
   - Highlight mandatory elements (e.g., empathic tone, cautious pattern identification, evidence-informed frameworks, concrete steps, safety note, hopeful close).  
   - Note constraints (single session style, plain language, non-diagnostic stance, professional referral).  
   - Confirm style requirements (supportive counseling tone, brevity, clarity).

2. Plan & Structure  
   - Sketch a high-level outline mapping each required element to a separate section.  
     • Opening: empathic validation  
     • Middle: pattern exploration + evidence-informed framing  
     • Action: concrete strategies  
     • Safety note  
     • Closing: encouragement and agency  
   - Determine logical flow and transitions between sections.  
   - Assign approximate word counts or proportions to ensure balanced coverage.  
   - Identify where to weave in CBT, motivational interviewing, and positive psychology principles without jargon.  
   - Plan signals for non-judgmental language and prompts for professional support.

3. Draft → Self-Review → Finalize  
   - Draft: Write each section according to the outline, focusing on tone and required components.  
   - Self-Review: Use a checklist of the six mandated elements and stylistic guidelines to verify completeness.  
   - Edit for coherence, plain language, and non-diagnostic framing.  
   - Finalize: Ensure the response is polished, concise, and meets all constraints before submission.",4,0,7,0.0,8.0,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to start by acknowledging the weight of the emotions you're carrying right now. Feeling emotionally drained, anxious about work, and uncertain about life direction is incredibly tough, and it's okay to feel overwhelmed by it all. Your feelings are valid, and it's important to give yourself permission to feel them without judgment.

As we explore what you're going through, I want to gently point out some possible patterns that might be contributing to your current state. It's possible that factors like burnout, perfectionism, avoidance of difficult emotions, low self-efficacy, or feeling disconnected from your values could be playing a role. However, it's important to remember that identifying these patterns doesn't mean we're diagnosing anything—it's simply a way to understand what might be happening for you.

In moving forward, I'd like to introduce some strategies that draw from evidence-based approaches like Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology. These approaches can help you regulate your stress, reframe unhelpful thoughts, clarify your values, and set achievable goals for the near future. By incorporating these tools into your daily life, you may find yourself feeling more empowered and in control.

I also want to emphasize the importance of seeking professional support if your distress feels overwhelming or persists over time. Speaking to a therapist or counselor can provide you with additional resources and guidance as you navigate this challenging period.

Remember, you have the strength and resilience within you to overcome these challenges. By taking small steps towards self-care and self-discovery, you can start to regain a sense of direction and purpose in your life. You are not alone in this journey, and I believe in your ability to find clarity and peace.

Take care, [Client]. You deserve to feel supported and hopeful as you move forward.

Warm regards,
[Your Name]",scaffold_Claude-Sonnet-4.6,Claude-Sonnet-4.6,gpt-3.5-turbo,anthropic/claude-sonnet-4-6,Claude-Sonnet-4.6,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/Claude-Sonnet-4.6_rep0.md,629499b97b1e03cd38f7624f70b89923780136253f0190f896e310dfa925e2e9,"**Assistant Guidance: Three-Phase Workflow**

---

**Phase 1: Requirements Check**

Before writing, carefully audit all six required components listed in the task. Confirm you understand the tone constraints (supportive, non-diagnostic, plain language) and the audience (a distressed individual in a single-session context). Note any tensions—for example, balancing pattern identification with avoiding clinical diagnosis, or being concrete without being prescriptive. Flag any component that might conflict with another and decide how you will navigate that tension before proceeding.

---

**Phase 2: Plan & Structure**

Map each of the six required components to a distinct section or natural transition point in your response. Decide on a logical sequence that mirrors how a real supportive conversation would flow (e.g., validation before pattern-naming, psychoeducation before action steps). Determine appropriate length and tone for each section. Identify which therapeutic frameworks you will draw on and how you will translate them into accessible, non-jargon language. Sketch a rough outline of transitions between sections so the response reads as cohesive rather than list-like.

---

**Phase 3: Draft → Self-Review → Finalize**

Write a full draft following your outline. Then conduct a structured self-review: check each of the six requirements against your draft, verify tone remains warm and non-pathologizing throughout, confirm no section inadvertently diagnoses or minimizes, and ensure the safety note and closing land appropriately. Revise any gaps or tone inconsistencies. Read the full response once more as if you are the client receiving it, then finalize.",7,0,0,,,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
0,"Dear [Client],

I want to start by acknowledging and validating the feelings you're experiencing right now. Feeling emotionally drained, anxious about work, and uncertain about life direction is incredibly tough, and it's okay to feel overwhelmed by it all. Your feelings are valid, and it's important to take care of yourself during this challenging time.

As we navigate through these emotions together, I want to gently explore some possible patterns that might be contributing to how you're feeling. It could be that you're experiencing burnout from pushing yourself too hard, struggling with perfectionism, avoiding difficult emotions or tasks, feeling like your self-confidence is low, or maybe you're feeling a mismatch between your values and your current situation. These are just some possibilities to consider, and it's important to remember that we're not here to diagnose, but rather to understand and support you.

In moving forward, we can draw upon evidence-informed approaches like Cognitive Behavioral Therapy (CBT), motivational interviewing, and positive psychology to help you navigate these challenges. By reframing your thoughts, regulating your stress levels, clarifying your values, and setting achievable goals in the near term, we can work towards a more balanced and fulfilling life for you.

I also want to emphasize the importance of seeking professional support if you find that your distress is severe or persistent. It's okay to reach out for additional help when you need it, and there are resources available to support you on this journey.

As we wrap up our session, I want to leave you with a message of encouragement and hope. You have the strength and agency to make positive changes in your life, and I believe in your ability to overcome these challenges. Remember that you are not alone in this, and together, we can work towards a brighter and more fulfilling future.

Take care, [Client]. You are deserving of support and compassion as you navigate through this difficult time.

Warm regards,
[Your Name]",scaffold_Claude-Opus-4.8,Claude-Opus-4.8,gpt-3.5-turbo,anthropic/claude-opus-4-8,Claude-Opus-4.8,/Users/kennywongchamcharoen/Downloads/centaur-benchmark-code/results/counselling/20260612_fresh_rep1/augmentation/scaffolds/Claude-Opus-4.8_rep0.md,8bda26dea97a431df6c1d12c3478f00f2fdd9aef54f54a8071a013021730d538,"**Assistant Guidance: Three-Phase Workflow**

**Phase 1 — Requirements Check**
Begin by parsing the task into its explicit components. Identify every required element (validation, cautious pattern identification, framework-based framing, concrete next steps, safety note, encouraging close) and note any constraints around tone, format, and scope. Flag the boundaries you must respect—for example, distinguishing supportive language from clinical diagnosis. List what ""done"" looks like before writing anything. Confirm the intended audience and the single-session framing.

**Phase 2 — Plan & Structure**
Decide the ordering and proportion of each required element so the response flows naturally rather than reading as a checklist. Sketch a brief skeleton mapping each requirement to a section. Plan transitions so empathy precedes interpretation, interpretation stays tentative, and practical steps feel actionable but not prescriptive. Consider where each named framework fits and how to keep language plain. Decide where the safety/limits note belongs and how to integrate it without alarming tone. Note placeholders for the closing so it reinforces the established themes.

**Phase 3 — Draft → Self-Review → Finalize**
Write a complete draft following your skeleton. Then review against the Phase 1 checklist: is each element present, balanced, and appropriately cautious? Check that nothing minimizes feelings, that no diagnostic claims appear, and that next steps are specific yet flexible. Verify the safety note and the hopeful close are both included. Refine word choice for warmth and clarity, trim redundancy, confirm consistent tone, and ensure the response stands as a coherent whole before finalizing.",8,0,0,,,,,anthropic/claude-opus-4-8,Claude-Opus-4.8
